,condition,drug name,meanNormalizedScore
0,ADHD,Adderall,6.988986784140969
1,ADHD,Adderall XR,7.226618705035971
2,ADHD,Adzenys XR-ODT,6.595238095238095
3,ADHD,Amantadine,5.666666666666667
4,ADHD,Amphetamine,6.425925925925926
5,ADHD,Amphetamine / dextroamphetamine,6.911184210526316
6,ADHD,Aptensio XR,7.083333333333333
7,ADHD,Armodafinil,7.115384615384615
8,ADHD,Atomoxetine,5.2105263157894735
9,ADHD,Budeprion XL,5.5
10,ADHD,Bupropion,6.763888888888889
11,ADHD,Catapres,9.166666666666666
12,ADHD,Clonidine,7.555555555555555
13,ADHD,Concerta,6.365758754863813
14,ADHD,Cylert,7.142857142857143
15,ADHD,Daytrana,7.139344262295082
16,ADHD,Desipramine,4.5
17,ADHD,Desoxyn,8.421052631578947
18,ADHD,Desvenlafaxine,7.666666666666667
19,ADHD,Dexedrine,7.4298245614035086
20,ADHD,Dexmethylphenidate,6.441666666666666
21,ADHD,Dextroamphetamine,7.537234042553192
22,ADHD,Dextrostat,6.5
23,ADHD,Dyanavel XR,5.4
24,ADHD,Evekeo,6.875
25,ADHD,Focalin,6.084905660377358
26,ADHD,Focalin XR,6.706896551724138
27,ADHD,Guanfacine,5.766025641025641
28,ADHD,Imipramine,3.0
29,ADHD,Intuniv,6.05607476635514
30,ADHD,Kapvay,6.470588235294118
31,ADHD,Lisdexamfetamine,6.843065693430657
32,ADHD,Metadate CD,7.25
33,ADHD,Metadate ER,7.5
34,ADHD,Methamphetamine,7.625
35,ADHD,Methylin,8.090909090909092
36,ADHD,Methylin ER,6.8125
37,ADHD,Methylphenidate,6.65692007797271
38,ADHD,Modafinil,7.705882352941177
39,ADHD,Mydayis,4.7
40,ADHD,Nuvigil,8.214285714285714
41,ADHD,Omega-3 polyunsaturated fatty acids,8.25
42,ADHD,Pemoline,7.142857142857143
43,ADHD,Pristiq,6.75
44,ADHD,ProCentra,10.0
45,ADHD,Provigil,8.1
46,ADHD,Quillivant XR,4.785714285714286
47,ADHD,Ritalin,6.723684210526316
48,ADHD,Ritalin LA,8.35
49,ADHD,Ritalin-SR,4.0
50,ADHD,Selegiline,9.5
51,ADHD,Strattera,5.207581227436823
52,ADHD,Tenex,4.5
53,ADHD,Vyvanse,6.833333333333333
54,ADHD,Wellbutrin,6.75
55,ADHD,Wellbutrin SR,7.75
56,ADHD,Wellbutrin XL,7.318181818181818
57,ADHD,Zenzedi,6.875
58,AIDS Related Wasting,Dronabinol,5.166666666666667
59,AIDS Related Wasting,Marinol,4.75
60,AIDS Related Wasting,Serostim,4.0
61,AIDS Related Wasting,Somatropin,4.0
62,Abdominal Distension,Bethanechol,5.5
63,Abdominal Distension,Urecholine,5.5
64,Abnormal Uterine Bleeding,Alesse,4.5
65,Abnormal Uterine Bleeding,Alyacen 1 / 35,4.5
66,Abnormal Uterine Bleeding,Amethia Lo,2.5
67,Abnormal Uterine Bleeding,Apri,5.6
68,Abnormal Uterine Bleeding,Aviane,6.409090909090909
69,Abnormal Uterine Bleeding,Aygestin,3.1666666666666665
70,Abnormal Uterine Bleeding,Balziva,8.0
71,Abnormal Uterine Bleeding,Camila,1.5
72,Abnormal Uterine Bleeding,CamreseLo,6.5
73,Abnormal Uterine Bleeding,Chateal,7.25
74,Abnormal Uterine Bleeding,Conjugated estrogens,3.625
75,Abnormal Uterine Bleeding,Cryselle,4.15
76,Abnormal Uterine Bleeding,Depo-Provera,3.4126436781609195
77,Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,5.6
78,Abnormal Uterine Bleeding,Errin,3.875
79,Abnormal Uterine Bleeding,Estarylla,4.309523809523809
80,Abnormal Uterine Bleeding,Ethinyl estradiol / ethynodiol,2.5
81,Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,3.6
82,Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,4.327586206896552
83,Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,5.154867256637168
84,Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,4.306532663316583
85,Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,4.795454545454546
86,Abnormal Uterine Bleeding,Falmina,3.8333333333333335
87,Abnormal Uterine Bleeding,Gildess Fe 1 / 20,2.8333333333333335
88,Abnormal Uterine Bleeding,Gildess Fe 1.5 / 30,5.25
89,Abnormal Uterine Bleeding,Heather,3.5
90,Abnormal Uterine Bleeding,Jolessa,3.8333333333333335
91,Abnormal Uterine Bleeding,Jolivette,3.375
92,Abnormal Uterine Bleeding,Junel Fe 1 / 20,5.722222222222222
93,Abnormal Uterine Bleeding,Junel Fe 1.5 / 30,2.5
94,Abnormal Uterine Bleeding,Levlen,6.875
95,Abnormal Uterine Bleeding,Levonorgestrel,4.784507042253521
96,Abnormal Uterine Bleeding,Levora,4.666666666666667
97,Abnormal Uterine Bleeding,Lo / Ovral-28,6.5
98,Abnormal Uterine Bleeding,LoSeasonique,3.9285714285714284
99,Abnormal Uterine Bleeding,Loestrin 21 1 / 20,3.5
100,Abnormal Uterine Bleeding,Loestrin 24 Fe,5.552083333333333
101,Abnormal Uterine Bleeding,Low-Ogestrel-21,5.5
102,Abnormal Uterine Bleeding,Lutera,4.666666666666667
103,Abnormal Uterine Bleeding,Lyza,2.5
104,Abnormal Uterine Bleeding,Medroxyprogesterone,3.514
105,Abnormal Uterine Bleeding,Megace,6.5
106,Abnormal Uterine Bleeding,Megestrol,5.225
107,Abnormal Uterine Bleeding,Mestranol / norethindrone,5.666666666666667
108,Abnormal Uterine Bleeding,Microgestin 1 / 20,2.5
109,Abnormal Uterine Bleeding,Microgestin Fe 1 / 20,4.0
110,Abnormal Uterine Bleeding,Microgestin Fe 1.5 / 30,5.75
111,Abnormal Uterine Bleeding,Mirena,4.746177370030581
112,Abnormal Uterine Bleeding,Mononessa,4.711538461538462
